,구별,연령별,시도간전입(2019),시도간전입(2020),시도간전입(2021),2022
217,충청남도,계,114837,123761,125686,116696
218,충청남도,0 - 4세,4241,4152,3726,3166
219,충청남도,5 - 9세,3472,3666,3431,3151
220,충청남도,10 - 14세,2850,2834,3024,2649
221,충청남도,15 - 19세,5483,4781,4785,5093
222,충청남도,20 - 24세,13196,14221,14722,14660
223,충청남도,25 - 29세,17578,18847,19213,17914
224,충청남도,30 - 34세,12026,12875,12743,11901
225,충청남도,35 - 39세,10218,10747,10215,8903
226,충청남도,40 - 44세,7715,8765,8992,8103
227,충청남도,45 - 49세,8159,8394,8385,7268
228,충청남도,50 - 54세,7412,8206,8648,7966
229,충청남도,55 - 59세,7316,8305,7967,7483
230,충청남도,60 - 64세,5815,7211,8127,7532
231,충청남도,65 - 69세,3221,4012,4515,4430
232,충청남도,70 - 74세,2053,2505,2739,2513
233,충청남도,75 - 79세,1667,1664,1755,1471
234,충청남도,80세이상,2415,2576,2699,2493
235,전라북도,계,58418,62625,61478,55511
236,전라북도,0 - 4세,2218,2119,1767,1427
237,전라북도,5 - 9세,1880,2019,1709,1432
238,전라북도,10 - 14세,1484,1651,1447,1351
239,전라북도,15 - 19세,3050,2883,2806,2620
240,전라북도,20 - 24세,6811,7598,8074,7364
241,전라북도,25 - 29세,8270,8680,9108,8382
242,전라북도,30 - 34세,5427,5828,5675,5026
243,전라북도,35 - 39세,5064,5308,4770,3894
244,전라북도,40 - 44세,3995,4527,4232,3861
245,전라북도,45 - 49세,4125,4410,4058,3594
246,전라북도,50 - 54세,3760,4144,3997,3855
247,전라북도,55 - 59세,3686,3948,3852,3538
248,전라북도,60 - 64세,3036,3489,3765,3681
249,전라북도,65 - 69세,1885,1981,2232,2083
250,전라북도,70 - 74세,1247,1429,1460,1234
251,전라북도,75 - 79세,984,1004,916,740
252,전라북도,80세이상,1496,1607,1610,1429
253,전라남도,계,88069,87803,85048,75640
254,전라남도,0 - 4세,3010,2783,2358,1903
255,전라남도,5 - 9세,2562,2842,2663,2242
256,전라남도,10 - 14세,1983,2040,1999,1776
257,전라남도,15 - 19세,4270,3261,3264,2796
258,전라남도,20 - 24세,9519,9293,9164,8161
259,전라남도,25 - 29세,12499,12027,11850,11037
260,전라남도,30 - 34세,7924,7778,7354,6664
261,전라남도,35 - 39세,7466,7452,6414,5397
262,전라남도,40 - 44세,5941,6077,5879,5044
263,전라남도,45 - 49세,6537,6539,5994,5092
264,전라남도,50 - 54세,6442,6934,6695,5915
265,전라남도,55 - 59세,6323,6515,6660,5862
266,전라남도,60 - 64세,5194,5768,6202,5809
267,전라남도,65 - 69세,2877,3110,3312,3182
268,전라남도,70 - 74세,1892,1940,1938,1855
269,전라남도,75 - 79세,1471,1321,1248,1058
270,전라남도,80세이상,2159,2123,2054,1847
271,경상북도,계,120812,121223,130456,110012
272,경상북도,0 - 4세,4325,3831,3511,2455
273,경상북도,5 - 9세,3294,3364,3268,2483
274,경상북도,10 - 14세,2667,2624,2578,2246
275,경상북도,15 - 19세,5884,5150,5695,5180
276,경상북도,20 - 24세,14141,14050,16932,14960
277,경상북도,25 - 29세,17745,17689,20037,17196
278,경상북도,30 - 34세,11866,11766,12692,10804
279,경상북도,35 - 39세,10438,9991,9716,7610
280,경상북도,40 - 44세,7703,8057,8273,7043
281,경상북도,45 - 49세,8234,8079,8189,6583
282,경상북도,50 - 54세,8300,8324,8973,7368
283,경상북도,55 - 59세,8423,8587,9089,7579
284,경상북도,60 - 64세,7164,8101,9009,7735
285,경상북도,65 - 69세,3903,4452,5032,4610
286,경상북도,70 - 74세,2277,2528,2745,2521
287,경상북도,75 - 79세,1804,1820,1820,1357
288,경상북도,80세이상,2644,2810,2897,2282
289,경상남도,계,121503,124029,123510,106942
290,경상남도,0 - 4세,5458,4496,3881,2949
291,경상남도,5 - 9세,3975,3911,3684,2841
292,경상남도,10 - 14세,2709,2784,2791,2323
293,경상남도,15 - 19세,5203,5108,4799,4446
294,경상남도,20 - 24세,13052,13902,14494,13273
295,경상남도,25 - 29세,18385,18464,18735,16816
296,경상남도,30 - 34세,13187,12958,12922,11533
297,경상남도,35 - 39세,12114,11254,10306,8264
298,경상남도,40 - 44세,8588,8979,8793,7713
299,경상남도,45 - 49세,8045,8438,8008,6595
300,경상남도,50 - 54세,7516,7891,7973,7063
301,경상남도,55 - 59세,7269,7523,7397,6296
302,경상남도,60 - 64세,6152,7072,7739,6560
303,경상남도,65 - 69세,3478,4200,4611,4038
304,경상남도,70 - 74세,2164,2633,2816,2391
305,경상남도,75 - 79세,1760,1843,1763,1427
306,경상남도,80세이상,2448,2573,2798,2414
307,제주특별자치도,계,35158,36716,37102,34948
308,제주특별자치도,0 - 4세,1551,1430,1347,1218
309,제주특별자치도,5 - 9세,1777,2110,2211,1927
310,제주특별자치도,10 - 14세,1147,1226,1316,1166
311,제주특별자치도,15 - 19세,1409,1390,1189,1230
312,제주특별자치도,20 - 24세,3358,3628,3434,3428
313,제주특별자치도,25 - 29세,4346,4481,4775,4445
314,제주특별자치도,30 - 34세,3257,3435,3415,3131
315,제주특별자치도,35 - 39세,3916,3969,3799,3469
316,제주특별자치도,40 - 44세,3189,3291,3664,3550
317,제주특별자치도,45 - 49세,3086,3181,3067,2708
318,제주특별자치도,50 - 54세,2537,2666,2613,2673
319,제주특별자치도,55 - 59세,2132,2221,2163,2144
320,제주특별자치도,60 - 64세,1629,1702,1882,1808
321,제주특별자치도,65 - 69세,800,906,1022,948
322,제주특별자치도,70 - 74세,456,472,505,492
323,제주특별자치도,75 - 79세,293,287,338,258
324,제주특별자치도,80세이상,275,321,362,353
