,구별,연령별,시도간전입(2015),시도간전입(2016),시도간전입(2017),시도간전입(2018),시도간전입(2019),시도간전입(2020),시도간전입(2021),시도간전입(2022)
65,대구광역시,45 - 49세,6047,5645,5524,5429,4987,5507,4774,4223
66,대구광역시,50 - 54세,5370,4725,4434,4627,4258,5090,4408,4047
67,대구광역시,55 - 59세,4595,4221,4107,4387,3927,4548,3731,3378
68,대구광역시,60 - 64세,3082,3124,3088,3386,3332,4079,3528,3228
69,대구광역시,65 - 69세,1993,1913,1880,2118,1952,2375,2260,1938
70,대구광역시,70 - 74세,1550,1283,1281,1250,1284,1523,1387,1261
71,대구광역시,75 - 79세,1218,1154,1134,1199,1082,1187,963,756
72,대구광역시,80세이상,1697,1787,1719,1939,1797,1842,1774,1606
73,인천광역시,계,158601,150863,143071,146403,143933,146930,155824,155221
74,인천광역시,0 - 4세,9563,8447,7293,6888,6015,5588,5775,6395
75,인천광역시,5 - 9세,6084,5274,4860,4791,4502,4797,4934,5356
76,인천광역시,10 - 14세,4740,3947,3389,3508,3360,3395,3480,3744
77,인천광역시,15 - 19세,6553,6136,5537,5246,5374,5296,5232,5538
78,인천광역시,20 - 24세,14453,14946,14755,15186,16248,16567,17149,16887
79,인천광역시,25 - 29세,19326,19438,19915,21805,22515,22801,24779,23529
80,인천광역시,30 - 34세,22375,20295,18397,17938,16869,17241,19481,20135
81,인천광역시,35 - 39세,16471,15813,15160,15740,14977,14625,15190,15137
82,인천광역시,40 - 44세,13408,12013,10881,10737,10459,11087,11852,12442
83,인천광역시,45 - 49세,10531,10396,10040,10036,9959,10006,9869,9260
84,인천광역시,50 - 54세,9624,9004,8191,8389,8526,8616,9172,9278
85,인천광역시,55 - 59세,8267,8199,7970,8439,7739,8012,7934,7648
86,인천광역시,60 - 64세,5551,5675,5685,6135,6303,6938,7689,7462
87,인천광역시,65 - 69세,3687,3583,3460,3592,3565,4153,4642,4677
88,인천광역시,70 - 74세,2898,2639,2587,2604,2411,2739,2912,2624
89,인천광역시,75 - 79세,2323,2161,2050,2167,2017,1998,2202,1822
90,인천광역시,80세이상,2747,2897,2901,3202,3094,3071,3532,3287
91,광주광역시,계,73826,67594,65964,69189,67778,67646,64721,55458
92,광주광역시,0 - 4세,4067,3811,3827,3574,3236,2972,2635,1798
93,광주광역시,5 - 9세,2880,2661,2510,2526,2276,2152,1894,1647
94,광주광역시,10 - 14세,2539,2017,1899,1806,1633,1569,1343,1311
95,광주광역시,15 - 19세,3767,3505,3387,3269,3212,2987,2899,2654
96,광주광역시,20 - 24세,7985,8220,7966,8775,9194,10252,10240,8947
97,광주광역시,25 - 29세,9540,9233,9271,10405,10981,11210,11407,9728
98,광주광역시,30 - 34세,9045,7985,7354,7233,6870,6950,6786,5881
99,광주광역시,35 - 39세,6879,6131,6102,6416,6061,5770,5170,4197
100,광주광역시,40 - 44세,6053,4853,4835,4736,4482,4423,4142,3584
101,광주광역시,45 - 49세,4996,4376,4319,4507,4384,4342,3682,3194
