"행정구역(시군구)별",2019,2019,2020,2020,2021,2021,2022,2022
"행정구역(시군구)별",총전입 (명),총전출 (명),총전입 (명),총전출 (명),총전입 (명),총전출 (명),총전입 (명),총전출 (명)
"화순군",5786,6679,6441,6267,6678,5988,5436,5278
"장흥군",3339,3796,3307,3791,2859,3593,2582,2876
"강진군",3073,3660,3262,3627,3037,3342,2637,2687
"해남군",5582,6668,5431,6422,5316,5991,4615,4997
"영암군",6355,6281,5772,6370,6158,6345,5136,4985
"무안군",8984,9570,17995,12658,17154,11661,9935,9988
"함평군",3065,3314,2811,3264,3017,3210,2571,2532
"영광군",5409,5609,4926,5593,4983,5641,5189,4539
"장성군",6574,6400,5698,6715,5720,6214,5210,4807
"완도군",3748,4233,4055,4427,3514,4196,3290,3624
"진도군",2368,2610,3846,3064,2709,3408,2414,2542
"신안군",3646,4246,3620,4522,3978,4024,3656,3418
"경상북도",306511,311082,317701,334679,317866,314529,263156,270822
"포항시",54676,57420,61001,64528,61243,58655,46708,52079
"경주시",29148,29685,29067,29929,30156,29946,23992,24336
"김천시",18310,17797,16981,17180,17010,16548,14882,14844
"안동시",17774,19326,21654,21983,18412,19110,15782,16682
"구미시",52378,55492,52183,56607,49357,53412,42533,46870
"영주시",10054,11119,10789,12056,11783,11964,10510,10554
"영천시",14290,13045,14212,14057,15631,14787,11666,11537
"상주시",12144,11046,10836,13440,11463,11866,10039,9529
"문경시",9097,8215,9250,9552,9828,9491,8609,8304
"경산시",36282,34344,38546,37705,43463,38315,31622,31296
"군위군",2226,2054,2125,2422,2113,2026,2423,1652
"의성군",4587,4320,4484,4669,3992,4054,4055,3494
"청송군",2219,2248,2448,2496,2099,2238,2031,1886
"영양군",1243,1397,1212,1306,1142,1188,1149,1175
"영덕군",3002,3401,3027,3665,2977,3384,2858,2836
"청도군",4532,4224,4237,4347,4415,4139,4026,3603
"고령군",2695,3079,2904,3596,2671,2987,2746,2591
"성주군",4437,4775,4760,5016,4071,4110,3794,3584
"칠곡군",11112,12854,11949,13946,11548,11829,9935,10558
"예천군",7394,5328,7197,6325,5999,5371,5815,5209
"봉화군",2441,2816,2536,2821,2453,2673,2349,2465
"울진군",5008,5448,5054,5271,4646,4950,4001,4315
"울릉군",1462,1649,1249,1762,1394,1486,1631,1423
"경상남도",396251,405561,403339,419997,374782,388485,323211,341758
"창원시",0,0,0,0,0,0,0,0
"진주시",48436,46973,50419,49242,43575,43555,37511,39746
"통영시",14510,16412,13561,16092,12630,14699,11395,13037
"사천시",12992,14496,15911,16277,13303,13599,12850,12521
"김해시",76273,68644,61638,62359,58036,61982,52257,54109
"밀양시",11681,12234,13179,13096,11306,11461,11160,10607
"거제시",28671,31470,29264,32158,27395,31657,23676,27779
"양산시",42436,41494,44133,43322,45583,43078,34913,35502
"의령군",2319,2475,2628,2666,2559,2572,2438,2226
"함안군",5795,6803,5908,6971,5728,6725,5182,5572
"창녕군",6215,6805,6733,7200,6497,6898,5009,5827
"고성군",4196,4695,4324,4743,4378,4544,4683,3994
"남해군",3693,3478,3728,3794,3704,3679,3413,3356
"하동군",4720,5268,3914,5208,3626,4357,3403,3734
"산청군",3423,3623,3525,3638,3435,3367,3128,2806
"함양군",3558,3577,3386,3493,3413,3574,3047,3017
"거창군",4845,4686,4784,4995,5116,4926,4553,4580
"합천군",3516,3637,3737,4318,3611,3855,3321,3299
"제주특별자치도",94966,92030,98114,94736,94979,91062,86865,83717
"제주시",68638,66180,71080,68574,67139,65654,61348,60072
"서귀포시",26328,25850,27034,26162,27840,25408,25517,23645
