"ÇàÁ¤±¸¿ªº°","Ç×¸ñ",2019,2019,2019,2019,2019,2019,2020,2020,2020,2020,2020,2020,2021,2021,2021,2021,2021,2021,2022,2022,2022,2022,2022,2022
"ÇàÁ¤±¸¿ªº°","Ç×¸ñ",°è,30´ëÀÌÇÏ,40´ë,50´ë,60´ë,70´ëÀÌ»ó,°è,30´ëÀÌÇÏ,40´ë,50´ë,60´ë,70´ëÀÌ»ó,°è,30´ëÀÌÇÏ,40´ë,50´ë,60´ë,70´ëÀÌ»ó,°è,30´ëÀÌÇÏ,40´ë,50´ë,60´ë,70´ëÀÌ»ó
"¾ç±¸±º","±Í³ó°¡±¸¿ø¼ö (¸í)",61,10,5,28,16,X,47,15,10,11,9,X,43,9,X,12,17,X,30,5,X,12,10,X
"ÀÎÁ¦±º","±Í³ó°¡±¸¿ø¼ö (¸í)",63,8,6,31,14,4,52,11,6,16,18,X,80,16,11,24,27,X,55,11,7,9,27,X
"°í¼º±º","±Í³ó°¡±¸¿ø¼ö (¸í)",48,10,10,16,8,4,46,10,12,9,12,X,61,12,9,22,17,X,46,14,8,16,8,0
"¾ç¾ç±º","±Í³ó°¡±¸¿ø¼ö (¸í)",48,8,6,18,15,X,65,13,9,23,17,X,52,15,X,17,14,X,62,9,9,18,22,4
"ÃæÃ»ºÏµµ","±Í³ó°¡±¸¿ø¼ö (¸í)",1210,247,137,446,321,59,1320,245,144,415,418,98,1457,220,139,495,500,103,1249,190,133,365,469,92
"Ã»ÁÖ½Ã","±Í³ó°¡±¸¿ø¼ö (¸í)",160,58,18,39,39,6,149,35,21,45,36,12,150,36,19,48,36,11,139,33,28,34,38,6
"ÃæÁÖ½Ã","±Í³ó°¡±¸¿ø¼ö (¸í)",139,28,25,47,32,7,139,42,10,45,35,7,122,19,11,40,40,12,131,15,13,35,57,11
"Á¦Ãµ½Ã","±Í³ó°¡±¸¿ø¼ö (¸í)",90,10,8,45,24,X,70,10,8,17,29,6,143,19,5,53,59,7,76,5,5,22,42,X
"º¸Àº±º","±Í³ó°¡±¸¿ø¼ö (¸í)",121,25,11,43,35,7,101,20,8,30,37,6,138,11,9,54,52,12,113,19,9,37,39,9
"¿ÁÃµ±º","±Í³ó°¡±¸¿ø¼ö (¸í)",120,14,15,53,35,X,177,35,18,65,52,7,194,33,24,77,53,7,163,19,21,44,64,15
"¿µµ¿±º","±Í³ó°¡±¸¿ø¼ö (¸í)",147,24,17,53,47,6,181,27,22,56,57,19,176,25,16,68,60,7,200,34,23,60,68,15
"ÁõÆò±º","±Í³ó°¡±¸¿ø¼ö (¸í)",22,5,X,7,4,X,21,X,6,6,5,X,26,X,X,8,12,X,19,9,X,4,4,0
"ÁøÃµ±º","±Í³ó°¡±¸¿ø¼ö (¸í)",58,15,6,21,14,X,80,13,10,28,28,X,82,22,11,19,21,9,56,8,6,15,24,X
"±«»ê±º","±Í³ó°¡±¸¿ø¼ö (¸í)",201,46,28,72,45,10,192,37,23,54,60,18,204,30,17,57,84,16,170,24,11,52,66,17
"À½¼º±º","±Í³ó°¡±¸¿ø¼ö (¸í)",79,15,4,32,21,7,129,19,11,34,51,14,139,19,16,41,50,13,112,15,13,37,36,11
"´Ü¾ç±º","±Í³ó°¡±¸¿ø¼ö (¸í)",73,7,X,34,25,5,81,5,7,35,28,6,83,4,10,30,33,6,70,9,X,25,31,X
"ÃæÃ»³²µµ","±Í³ó°¡±¸¿ø¼ö (¸í)",1739,321,215,589,488,126,2052,397,236,633,648,138,2510,435,259,706,886,224,2139,329,243,574,772,221
"Ãµ¾È½Ã","±Í³ó°¡±¸¿ø¼ö (¸í)",84,16,7,28,28,5,106,26,11,30,31,8,135,31,15,43,34,12,120,23,18,32,37,10
"°øÁÖ½Ã","±Í³ó°¡±¸¿ø¼ö (¸í)",135,28,15,45,40,7,120,25,15,36,37,7,183,38,15,63,56,11,136,16,9,40,59,12
"º¸·É½Ã","±Í³ó°¡±¸¿ø¼ö (¸í)",115,27,14,38,29,7,131,21,16,38,46,10,165,26,12,41,74,12,152,15,13,51,54,19
"¾Æ»ê½Ã","±Í³ó°¡±¸¿ø¼ö (¸í)",130,34,12,45,29,10,142,44,18,45,31,4,195,64,33,54,34,10,210,58,30,54,50,18
"¼­»ê½Ã","±Í³ó°¡±¸¿ø¼ö (¸í)",129,27,16,37,40,9,159,37,12,60,44,6,202,31,16,53,81,21,185,31,19,45,72,18
"³í»ê½Ã","±Í³ó°¡±¸¿ø¼ö (¸í)",173,42,36,41,41,13,206,58,25,61,46,16,199,51,29,50,56,13,146,26,29,37,41,13
"°è·æ½Ã","±Í³ó°¡±¸¿ø¼ö (¸í)",12,4,X,X,0,X,24,13,5,4,X,X,33,11,10,6,5,X,21,5,0,8,8,0
"´çÁø½Ã","±Í³ó°¡±¸¿ø¼ö (¸í)",108,22,18,35,25,8,161,29,9,56,53,14,214,29,17,60,83,25,176,27,27,46,58,18
"±Ý»ê±º","±Í³ó°¡±¸¿ø¼ö (¸í)",102,15,8,46,26,7,173,24,24,49,62,14,146,23,18,35,54,16,137,14,10,43,61,9
"ºÎ¿©±º","±Í³ó°¡±¸¿ø¼ö (¸í)",160,27,17,47,57,12,182,35,19,56,61,11,198,27,19,54,84,14,189,32,26,42,69,20
"¼­Ãµ±º","±Í³ó°¡±¸¿ø¼ö (¸í)",80,12,5,34,27,X,94,12,16,25,33,8,124,20,16,24,50,14,127,15,9,27,49,27
"Ã»¾ç±º","±Í³ó°¡±¸¿ø¼ö (¸í)",140,15,10,65,35,15,129,17,21,38,46,7,150,18,6,66,52,8,123,13,11,33,54,12
"È«¼º±º","±Í³ó°¡±¸¿ø¼ö (¸í)",133,26,20,30,44,13,111,19,17,31,36,8,200,24,20,47,82,27,123,20,13,38,42,10
"¿¹»ê±º","±Í³ó°¡±¸¿ø¼ö (¸í)",106,8,16,47,27,8,121,12,11,33,53,12,150,18,12,43,57,20,127,18,12,34,47,16
"ÅÂ¾È±º","±Í³ó°¡±¸¿ø¼ö (¸í)",132,18,19,48,40,7,193,25,17,71,68,12,216,24,21,67,84,20,167,16,17,44,71,19
"Àü¶óºÏµµ","±Í³ó°¡±¸¿ø¼ö (¸í)",1853,419,317,558,443,116,1994,440,292,620,528,114,2013,411,267,595,578,162,1609,310,206,453,514,126
"±º»ê½Ã","±Í³ó°¡±¸¿ø¼ö (¸í)",68,14,12,25,15,X,67,16,13,13,24,X,91,24,17,16,26,8,85,24,13,21,26,X
"ÀÍ»ê½Ã","±Í³ó°¡±¸¿ø¼ö (¸í)",159,42,30,42,38,7,183,43,33,56,40,11,159,35,16,58,41,9,129,28,17,27,46,11
"Á¤À¾½Ã","±Í³ó°¡±¸¿ø¼ö (¸í)",196,40,32,64,45,15,199,43,29,66,46,15,185,44,26,49,52,14,146,29,17,36,50,14
"³²¿ø½Ã","±Í³ó°¡±¸¿ø¼ö (¸í)",187,44,38,54,41,10,194,48,23,53,52,18,179,38,25,51,51,14,169,29,25,45,55,15
"±èÁ¦½Ã","±Í³ó°¡±¸¿ø¼ö (¸í)",141,37,31,38,24,11,195,55,31,49,54,6,186,44,21,55,48,18,165,39,22,52,36,16
"¿ÏÁÖ±º","±Í³ó°¡±¸¿ø¼ö (¸í)",161,44,31,47,30,9,192,46,38,59,40,9,202,39,36,62,53,12,161,34,21,49,46,11
"Áø¾È±º","±Í³ó°¡±¸¿ø¼ö (¸í)",108,22,22,31,30,X,116,26,6,51,28,5,134,16,13,49,47,9,88,6,8,27,32,15
"¹«ÁÖ±º","±Í³ó°¡±¸¿ø¼ö (¸í)",80,7,11,29,29,4,114,17,15,41,36,5,130,25,18,41,38,8,77,14,11,22,29,X
